filename,genre
m00003.wav,hiphop
m00012.wav,hiphop
m00013.wav,jazz
m00043.wav,hiphop
m00044.wav,hiphop
m00055.wav,classical
m00061.wav,hiphop
m00063.wav,jazz
m00069.wav,hiphop
m00074.wav,pop
m00107.wav,hiphop
m00114.wav,classical
m00127.wav,pop
m00137.wav,jazz
m00139.wav,pop
m00148.wav,hiphop
m00149.wav,pop
m00156.wav,jazz
m00183.wav,hiphop
m00211.wav,hiphop
m00218.wav,pop
m00228.wav,hiphop
m00247.wav,pop
m00254.wav,hiphop
m00266.wav,jazz
m00289.wav,hiphop
m00292.wav,hiphop
m00293.wav,classical
m00309.wav,classical
m00318.wav,hiphop
m00321.wav,hiphop
m00323.wav,jazz
m00324.wav,hiphop
m00331.wav,classical
m00348.wav,pop
m00355.wav,hiphop
m00356.wav,hiphop
m00357.wav,pop
m00359.wav,pop
m00363.wav,hiphop
m00371.wav,hiphop
m00372.wav,hiphop
m00391.wav,hiphop
m00393.wav,pop
m00399.wav,pop
m00405.wav,jazz
m00414.wav,classical
m00434.wav,pop
m00463.wav,classical
m00468.wav,jazz
m00487.wav,hiphop
m00495.wav,jazz
m00515.wav,pop
m00528.wav,pop
m00537.wav,classical
m00538.wav,classical
m00549.wav,classical
m00555.wav,pop
m00560.wav,pop
m00570.wav,classical
m00571.wav,classical
m00576.wav,pop
m00581.wav,hiphop
m00582.wav,hiphop
m00589.wav,jazz
m00597.wav,classical
m00610.wav,hiphop
m00616.wav,pop
m00624.wav,jazz
m00635.wav,jazz
m00685.wav,pop
m00705.wav,jazz
m00708.wav,hiphop
m00719.wav,pop
m00730.wav,hiphop
m00733.wav,pop
m00736.wav,pop
m00755.wav,classical
m00756.wav,pop
m00791.wav,jazz
m00806.wav,hiphop
m00812.wav,hiphop
m00817.wav,pop
m00824.wav,pop
m00828.wav,pop
m00829.wav,hiphop
m00833.wav,classical
m00838.wav,hiphop
m00843.wav,pop
m00852.wav,hiphop
m00873.wav,classical
m00921.wav,classical
m00927.wav,hiphop
m00928.wav,classical
m00941.wav,classical
m00947.wav,pop
m00949.wav,classical
m00950.wav,pop
m00961.wav,jazz
m00967.wav,hiphop
m00971.wav,classical
m00973.wav,pop
m00988.wav,pop
m00991.wav,jazz
m00995.wav,classical
